english	sign
she turned 19 on this birthday	she birthday 1 9
leave the room	get_out
khushboo passed away in 2014	k h u s h b o o died 2 0 1 4
you want a drink	you drink something want
i was born in erode	me born place e r o d e
he purchased many expensive things	he big money purchase
they did not allow her to meet him	she allow meet him no
she was absent due to illness	she ill absent
21 people are walking	2 1 people walk
for hours they went on talking	they talk
she wishes to drink something	she drink something want
he was born on 2 february 2018	he born 2 f 2 0 1 8
near his home a fire broke out	his house near fire
he was born in march	he born m march
sleep	sleep
do your assignment	you homework finish
he suddenly closed the door	he close door shock
he wants these shirts washed	he shirt like wash_clothes
i was born in july	me born j y
there are 219 people walking on the road	2 1 9 people walk there
944	9 4 4
i took some time to find sapna	s a p n a find time
i take bath almost every day	me bath every_other_day
how many people are there in your family	you family how_many people
she turned 30 on this birthday	she birthday 3 0
data	data
there are 727 people walking on the road	7 2 7 people walk there
i like shopping	me like shopping
the enemies of the king were crushed	king crush his enemies
everyone laughed at her	everyone she laugh
34 people are walking	3 4 people walk
he is thinking	he thinking
can we meet today	we today meet can
almost every day she takes bath	she bath every_other_day
she was assaulted 	she attack
i was born on 24 may 1961	me born 2 4 m a y 1 9 6 1
he has been wanting to do it for the last 30 months	he like work past 3 0 month
he bought many costly things	he big money purchase
she wanted to do it for the last 22 years	she like work past 2 2 year
199	1 9 9
of great woman she is of great beauty	she correct beauty
at the nursing home i worked it was done successfully	me work local nurse where work good
all felt sorry for bhavika	people know sorry b h a v i k a
please hand me a pen	please pen give_me
i am fine	me fine
what your father job	you father doing
he turned 40 on this birthday	he birthday 4 0
you were born in july	you born j y
yesterday why didn't he come	why he past come no
have you booked the tickets	you ticket bookv did
i have worked hard this year and did the right things and it has paid off	work difficult true work now year doing thing and take
how long they stay in foreign	they how time aeroplane stay
always her clothes smelly	she shirt waste smell
today she is behaving weird	she behaviour work odd today
her absence was because of sickness	she ill absent
she is acting weird today	she behaviour work odd today
they assaulted me	they take my youth
there are 189 women walking around	1 8 9 man walk there
my boss will not say yes	me boss say no yes
finding sapna took a while	s a p n a find time
i've still got the desire	me like
it is same for everybody	this same everyone
she warned him not to go alone	she say him no go alone
that drice nice she look	she look beauty dress
they had to stay in dark so they did not get captured	light no stay catch no
all the students look up to him	student look him
762	7 6 2
everyone mocked them	everyone they laugh
i hurt her pride by what i said	me say pain her pride
use the dustbin do not throw garbage 	garbage no use dustbin
what your home phone number is	what you home phone number
here smoking is not allowed	smoking no allow this
should we go together tomorrow	tomorrow we accompany go
everyone speaks well of him	people say good him
they is out of town on business	they town out work
he was born in akola	he born place a k o l a
can you help me	you help me can
she dialed the wrong number	she dial wrong number
to feed her dog she forgot	she forgot feed dog
sikh	sikh
brown	brown
it is an answer to kiran's letter	answer k i r a n letter
he is digging his own grave	he dig own grave
all felt sorry for buthayna	people know sorry b u t h a y n a
he worked on farm the entire day	him work farmland day
she appears truthful	she recognize she truth
what's your mobile number	you mobile_number what  
a boy you are	you boy
i was born on 22 february 2015	me born 2 2 f 2 0 1 5
at the top of your voice you are shouting why	why you shout top
46	4 6
he was born on 16 october 1995	he born 1 6 october 1 9 9 5
good to meet you	good meet you
he on the wrong train	he train wrong
my name is aabha	me name a a b h a
where is the police station	police station where
october to march	october m march between
are you in your senses	you what mind
when happen the accident	accident when happen
how can i reach you	you mobile_number what  
is this mouse dead or alive	this mouse died or breathe
he said he was happy	he say she happy
her safety worries me	me her keep anxious
when he was 65 years old he died	he 6 5 died
an expenditure which has no value	money no money
he was born in february	he born f
your home phone number is what	what you home phone number
there both john and i will be there	j o h n and me will both go there
her mother got fever and died	mother sick ill died
she is acting weird today	she behaviour work odd today
he changed schools last year	he change school past year
he was born in nalgonda	he born place n a l g o n d a
what sounds strange is what she says	she say sounds strange
it was a labour camp 	camp
is there less expensive one than that	you keep that cheap
which place you stay	you stay where
i visited a church 	me visit church and like
99 people are walking	9 9 people walk
we meet later	we later me meet can
result he anxious	he correct anxious
you were born in visakhapatnam	you born place v i s a k h a p a t n a m
this book is popular	everyone know book
229	2 2 9
my mother is a homemaker	me mother home homemaker 
how many years they live abroad	they how time aeroplane stay
on wednesday they went to qatar	they go q a t a r wednesday
1 people are walking	1 people walk
63	6 3
questions any	question
